ajol_id,keyword
125081,Medical Students
125081,Uturu
125084,Histopathological pattern
125084,Diseases
125084,Cervix
125087,MDGs
125087,Nigeria
125087,2015
125087,health-related
111852,Priapism
111852,Chronic myeloid leukaemia and erectile dysfunction
111853,Health seeking
111853,rural dwellers
111853,utilization
111853,Health care services
111854,Hospitalized children
111854,malnutrition
111854,and prevalence
111855,external
111855,Abdominal
111855,Hernias
111865,Autopsy
111865,necropsy
111865,obduction
111865,medico legal
111865,Pathologist
97406,Retained placenta
97406,Maternal morbidity and mortality
97407,Home-based care
97407,Hospital-based care
97407,Directly Observed Therapy (DOT)
97407,Cost
97408,Review
97408,Tuberculosis
97408,Human Immunodeficiency Virus
97408,Co-infection
97409,Sexually Transmitted Diseases
97409,Students
97409,Knowledge
97411,Prevalence
97411,Gestational Diabetes Mellitus
97412,Diagnosis
97412,Management
97412,Atypically presenting
97412,Ectopic pregnancy
97415,Cardiac
97415,Disease
97415,Pregnancy
264674,Convolutional Neural Network
264674,Robotics
264674,Object Recognition
264674,Computer Vision
264674,YOLO
262597,Citrullus lanatus
262597,extraction
262597,FTIR
262597,oil yield
262597,physicochemical properties
262597,watermelon oil
262598,Interfacial tension
262598,salinity
262598,enzyme
262598,silica nanoparticles
262598,greenzyme
262599,Electrical energy consumption pattern
262599,bulk metering unit
262599,energy generated
262599,energy forecast
262599,energy demand
262603,Weed management
262603,artificial intelligence (AI)
262603,legume farming
262603,image recognition
262603,computer vision
262604,Two-stroke SIE
262604,multiple fuel-blends
262604,ethanol
262604,spent engine oil
262604,charge potency
262604,emission
262606,Ambient air quality standard
262606,power generating set
262606,SPM
262606,toxicity potential
262606,WHO
262683,Artificial Waterfall
262683,Design and Simulation
262683,Pelton Wheel Turbine
262683,Pipe Network Matrix
262683,Matlab Simulink
262685,Electronic Voting System
262685,Kerberos Authentication
262685,Biometric Security
262685,Demilitarized Zone
262685,Advanced Encryption Standard (AES)
262687,Decision tree
262687,k-nearest neighbor
262687,Lumpy skin diseases
262687,Random forest
262687,Support vector machine
262688,Convolutional neural networks
262688,Flood
262688,Machine learning
262688,Prediction
262688,Natural disasters
262689,Home
262689,Automation
262689,ESP rainmaker
262689,System
262689,Devices
262689,Firmware
262691,Antenna
262691,Elevation Angle
262691,Ultra High Frequency (UHF)
262691,Telecommunication and Very High Frequency (VHF)
262694,Examination Misconducts
262694,Greedy Graph Colouring Algorithm
262694,Connection Matrix
262694,“Giraffing
262707,Ayo-Olopon
262707,Multi-Player
262707,Javascript
262707,React Native
262707,Africa Game
262708,Anti-theft
262708,Car Security Systems
262708,Global System for Mobile Communication (GSM)
262708,Mobile Phone
262708,Vehicular Remote Control
262709,Concrete
262709,Compressive Strength
262709,Flexural Strength
262709,Canarium Schweinfurthii Seed Shell Ash (CSSA)
262709,X-ray Florescence
262711,Analysis
262711,Evapotranspiration
262711,Hydrologic
262711,Temperature
262711,Runoff
262711,Slope
262711,Trend
262717,Compressor Wash Effluent
262717,Gas Turbine Engines
262717,Geregu Power
262717,Gas Path Parameters
262717,Diagnosis
262717,Monitoring
262873,Hybrid MQL-Brass
262873,Nano-Fluid
262873,Coolant
262873,Machining
262873,Efficient Operation
262875,Performance Analysis
262875,Refrigerating Effect
262875,System Parameters
262875,Plasma and Heat Rejection
262876,Carbide Precipitates
262876,Microstructure
262876,Graphite Nodules
262876,Heat-Treated
262876,Soaking Time
262876,Samples
244927,Construction site management
244927,construction site managers
244927,mobile technologies
244927,digital technologies
244927,Nigeria
244928,Automation
244928,construction materials
244928,efficiency
244928,material handling
244929,Cooperative societies
244929,housing delivery
244929,housing finance
244929,public-private collaborations
244929,Nigeria
244930,Adolescent
244930,construction
244930,career choice
244930,career development
244930,careers in the construction industry
244930,gender
244930,gender stereotypes
244930,men
244930,socio-economic status
244930,SES
244930,social class
244930,women
244931,Construction industry
244931,intelligent building design
244931,intelligent building system
244931,technology
244931,drivers
244931,barriers
244931,sustainable building development
244932,Building material
244932,carbon tax
244932,emission intensities
244932,energy intensities
244932,input-output analysis
244932,welfare
244933,Architectural practice
244933,entrepreneurship
244933,entrepreneurship education
244933,complementary practice
244934,Climate change
244934,netzero carbon building
244934,social housing
244934,environmental sustainability
244934,climate change mitigation
244935,Dysfunction
244935,local government
244935,municipal demarcation
244935,service delivery
244935,South Africa
244935,White Paper
231025,Construction industry
231025,control
231025,labour-intensive work
231025,management
231025,productivity
231025,road construction
231026,Building information modelling
231026,BIM implementation
231026,building projects
231026,organisational capability attributes
231026,public sector
231029,Accidents
231029,construction health and safety
231029,construction industry
231029,safety behaviour
231030,Building maintenance
231030,building repair
231030,repair and maintenance
231030,multi-criterion decisionmaking
231030,Delphi method
231030,SWARA
231030,VIKOR
231031,Sustainable construction
231031,sustainable buildings
231031,sustainability practices
231031,Zambian construction industry
208212,Application trends
208212,green building
208212,South Africa
208212,sustainability
208212,trends
208213,Construction material
208213,efficiency
208213,manufacturer logistics
208213,technology
208213,transportation
208218,Decent accommodation
208218,deficit
208218,housing facility
208218,housing supply
208214,Aanwysers
208214,belegging
208214,genoteerde eiendom
208214,makro-ekonomies
208214,prys
208215,Konstruksiebedryf
208215,faktore van samewerking
208215,gesondheids- en veiligheidsprestasies
208215,literatuuroorsig
208216,Building energy efficiency tools
208216,climate change mitigation
208216,green buildings
208216,residential sector
208205,Construction
208205,DM
208205,ERP
208205,IRES
208205,MRP
208205,forecasting
208205,logistics
208205,technology
208206,Hedonic price modelling
208206,housing characteristics
208206,Integrated Residential Development Programme (IRDP)
208206,subsidised affordable housing
208206,property value
208207,Hazards
208207,construction health and safety
208207,housing construction
208207,risks assessment matrix
208207,Lagos
208208,Landscape design
208208,memorials
208208,commemoration
208208,Freedom Park
208208,postapartheid South Africa
208208,Isivivane
208209,Cost overruns
208209,energy sector
208209,megaprojects
208209,schedule overruns
208210,Hanging buildings
208210,sustainable design
208210,adaptability
208200,Construction
208200,decent work
208200,labour productivity
208200,sustainable development
208200,working conditions
208200,Zimbabwe
208201,CIDB
208201,Construction Industry Development Board
208201,contractor development
208201,contractor development programme
208201,contractor growth
208201,contractor performance
208202,Built environment
208202,socio-economic
208202,South Africa
208202,transformation
208203,BIM
208203,BIM supply chain
208203,construction projects
208203,trust-based relationships
208204,Construction industry
208204,local construction firms
208204,professionalism
208204,viability
208204,Nigeria
208179,South Africa
208179,SME construction projects
208179,quality assurance practice
208179,road construction
208181,Challenges
208181,South Africa
208181,tenders
208181,quantity surveying
208182,Construction firms
208182,cost performance
208182,public projects
208182,time performance
208182,time overrun
208182,cost overrun
208184,Alternative dispute resolution (ADR)
208184,architectural practitioners
208184,built environment
208184,South African Council for the Architectural Profession (SACAP)
208186,General Conditions of Contract for Construction Work (GCC)
208186,Joint Building Contracts Committee (JBCC)
208186,Principal Building Agreement (PBA)
208186,project life cycle
208186,construction project management
208187,Beroepsgesondheid en -veiligheid
208187,cannabis
208187,konstruksiewerkers
208187,middelgebruik
208187,Suid-Afrika
208188,Abandoned buildings
208188,public tertiary education institutions
208188,resuscitation strategies
180638,Building information modelling (BIM)
180638,BIM adoption
180638,Kenyan construction sector
180639,Safety performance
180639,safety programmes
180639,safety elements
180639,construction projects
180640,Credit accessibility
180640,determinants of credit accessibility
180640,full credit
180640,small and medium enterprises
180641,QR Codes
180641,construction industry
180641,construction materials
180642,Bricks
180642,circular economy
180642,dolomitic waste
180642,fly ash
180642,South Africa
180643,Clients
180643,construction health and safety professionals
180643,designers
180643,project managers
180643,quantity surveyors
176847,Factor analysis
176847,risk management practices
176847,small and medium enterprises
176847,South Africa
176848,Construction projects
176848,cost of error
176848,design documents
176848,design error
176848,variation cost
176848,valuation documents
176849,Beneficiary communities
176849,community development
176849,economic development
176849,green energy
176849,renewable energy
176849,revenue management
176849,socioeconomic development
176849,project management
176849,transformational change
176850,Construction project management
176850,knowledge model
176850,type of knowledge
176850,NQF knowledge level
176850,South Africa
176851,Dwelling quality
176851,housing quality
176851,locational quality
176851,neighbourhood quality
176851,peri-urban settlements
176852,Agreement
176852,construction
176852,contract(s)
176852,general conditions
176852,project management
176852,project life cycle
163740,Agricultural property
163740,Automated Valuation Methodology (AVM)
163740,farm valuation
163740,mass appraisal
163740,valuation methodology
163742,Facilities management
163742,sub-Saharan Africa
163742,success factors
163742,sustainable development
163742,universities
163744,Building
163744,construction projects
163744,cost overruns
163744,infrastructure
163744,project performance
163744,Relative Importance Index
163744,schedule delays
163746,South African Council for the Architectural Profession (SACAP)
163746,alternative dispute resolution (ADR)
163746,litigation
159821,Attitudes
159821,cultural significant architecture
159821,earth architecture
159821,temporal ownership
159823,Construction industry
159823,HIV/AIDS
159823,intervention management
159823,sequential mixed methods research
159824,Actual cost
159824,cost overrun
159824,estimated cost
159824,Nigeria
159824,building projects
159826,Volhoubare fasiliteitsbestuur
159826,eiendomsbestuur
159826,volhoubaarheidskriteria
159826,winkelsentrums
159826,Sustainable facilities management
159826,property management
159826,sustainability criteria
159826,shopping centres
159828,Construction teams
159828,safety climate
151799,Construction
151799,Lesotho
151799,public sector
151799,risk management
151800,Grain silo
151800,valuation methodology
151800,income capitalisation method
151800,occupancy
151800,capitalisation rate
151801,Quantity surveying
151801,generation Y
151801,job satisfaction
151802,Image
151802,career choice
151802,school leavers
151802,employers
151804,Construction delays
151804,decision-trees
151804,EOT
151804,JBCC
143098,Communication skills and leadership model
143098,construction project management
143098,leadership
143098,South African construction industry
143100,Project communication
143100,computer-mediated communication
143100,instant messaging
143100,video conferencing
143100,virtual teams
143106,Programme management
143106,critical success factors
143106,functional silos
143106,construction management
143106,operations management
143106,benefits management
143111,Cost overrun
143111,construction waste
143111,construction industry
143111,material waste
143111,Nigeria
129801,Continuing professional development
129801,quantity surveying
129801,perception
129803,Property leasing
129803,public sector
129803,surplus residential property
129805,Waste plastic bags
129805,cement-plastic-mortar composite
129805,aggregates coating
129805,ripening
129805,water-absorption ratio
129805,wear-resistance index
129806,Ethics
129806,sustainable competitiveness
129806,construction
129806,project
129806,and business management
129806,building contracts
129807,Green building
129807,construction
129807,education
129807,South Africa
125381,Construction health
125381,safety
125381,and ergonomics
125381,architectural design model
125382,Project manager attributes
125382,project experience
125382,construction management
125382,project manager profiles
125383,Konstruksieprojekbestuur
125383,bou-omgewing
125383,industriekennis
125383,projekbestuurkennis
125383,ondervinding
125383,tipe kennis benodig
125385,Critical path method
125385,critical chain method
125385,construction
125385,project management
125385,CCPM
116175,Strategic management
116175,survival strategies
116175,turnaround strategies
116176,Indices
116176,bills of quantities
116176,rates
116184,Behaviours
116184,clients
116184,construction
116184,leadership
116184,health and safety
116184,South Africa
116188,sustainability
116188,building materials
116188,methodology
116188,sustainable building material index (SBMI)
109761,incentives
109761,alliance
109761,contract strategy
109761,best performance
109761,construction industry
109758,Discounting
109758,professional fees
109758,quantity surveying
109758,service quality
109759,Bus Rapid Transit stations
109759,carbon footprint
109759,climate change
109759,embodied energy
109759,life-cycle assessment
109759,construction materials
109760,monetary incentives
109760,motivational factors
109760,project objectives
109757,Acceptability
109757,attitudes
109757,building materials
109757,earth construction
109757,climatic conditions
109757,rainfall
109757,quasi-experimental research
103583,Occupational stress
103583,job demands
103583,job control
103583,stressors
103583,quantity surveyors
103583,South Africa
103585,Harassment
103585,discrimination
103585,workplace stress
103585,quantity surveyors
103585,South Africa
94079,Property valuation
94079,Automated Valuation Models
94079,commercial property
94080,Organisational culture
94080,construction industry
94080,competing values
94080,framework
94080,Organisational Culture Assessment Instrument
94081,Communication
94081,construction
94081,culture
94081,language
94081,site managers
94081,site workers
94081,Eastern Cape
94081,South Africa
94082,Elements
94082,small and medium construction enterprises
94082,validation
94083,Buildings
94083,employee morale
94083,employee productivity
94083,facility management
94083,Health and Safety (H&S)
94083,Indoor Environmental Quality (IEQ)
94083,Post-Occupancy Evaluation (POE)
94084,Communication maturity
94084,communication capabilities
94084,contractual communication
94084,quantity surveyor
94084,South Africa
94085,Construction
94085,empowerment
94085,ethics
94085,transformation
94085,South Africa
87636,Construction
87636,infrastructure
87636,project performance
87636,South Africa
87637,Bus Rapid Transit (BRT)
87637,carbon footprint
87637,climate change
87637,construction materials
87637,embodied energy
87637,life-cycle analyses
87637,resource consumption
87638,Property rights
87638,real-estate transactions
87638,governance structures
87638,Windhoek
87639,Collaboration
87639,emerging contractors
87639,built-environment professionals
87639,contractor development
87641,Critical success factors
87641,project success
85415,Content analysis
85415,lean construction
85415,performance
85415,research trends
85415,supply chain management
85416,Construction
85416,contractors
85416,low-income housing
85416,owners
85416,quality
85417,Relationship
85417,initial & final construction time
85417,project delivery
85418,Kommunikasievolwassenheidsmodel
85418,kommunikasievermoë
85418,bourekenaar
85418,Suid-Afrika
85419,Botswana
85419,construction
85419,culture
85419,health and safety
85419,improvement
85419,influence
85419,performance
85419,South Africa
85420,Cost estimation
85420,estimation methods
85420,emerging contractors
85420,tender
85421,Built environment
85421,financial risk
85421,expectations
85421,remuneration
85421,work done at risk
77176,Architectural practice
77176,technology audit
77176,South Africa
77178,System thinking
77178,building construction projects
77178,South Africa
77179,Construction industry
77179,small and medium-size enterprises
77179,strategic management
77180,Construction
77180,consultants
77180,procurement
77180,public sector
77180,South Africa
77181,Building regulations and its origin
77181,building standards
77181,building codes
77181,Code of Hammurabi
77181,Jan van Riebeeck
77181,regulating the built environment
77165,Building industry
77165,guarantees
77165,performance
77165,risk management
77165,securities
77171,Policy networks
77171,People’s Housing Process
77171,self-built housing
77171,heuristic mode
77173,Project cost performance
77173,schedule delays
77173,cost overruns
77173,project construction
77174,Construction
77174,health and safety
77174,Malawi
77175,Building costs
77175,built environment
77175,green buildings
77175,sustainability
249721,Imago Dei
249721,J. Wentzel van Huyssteen
249721,Human Beings
249722,Reflection
249722,Leadership practice
249722,Saul’s leadership
249722,VIP leadership model
249723,LGBTQ issue
249723,Ecclesial discrimination
249723,The existence of LGBTQ persons
249723,Inclusive communion
249723,Indonesian churches
249724,Being Reformed
249724,Reformed identity
249724,Reformed confessions
249724,Reformed in Africa
249789,Religious faith traditions
249789,Corruption
249789,Sustainable development
249789,Zimbabwe
249790,Concept of Minjung theology
249790,Missio Dei
249790,Event
249790,Doctrine of the Minjung messiah
249791,Catholic Church
249791,Science
249791,Epidemics
249791,Plagues
249792,Anfechtungen
249792,Delicious despair
249792,Double switching in caregiving
249792,Living wounds
249793,Covenant theology
249793,Fatherlessness
249793,Practical theology
249793,Youth and family ministry
249793,Youth at risk
249904,Astrotheology
249904,Space-time
249904,Cosmic Christ
249904,Incarnation
249904,Eschatology
249905,Spirituality
249905,Identity
249905,Journaling
249905,Millennials
249906,Postnormal times
249906,New normal
249906,John 11:1-45
249906,Gospel of John
249907,Homiletics research
249907,Grounded theory
249907,Postcolonial homiletics
249907,Struggle
249919,Critical
249919,Evaluation
249919,Religious syncretism
249919,Igbo Christians
249921,African synod
249921,Catholic Church
249921,African bishops
249921,Human values
249924,Theological ethics
249924,Theology of food
249924,Food additives
249924,Food safety
249926,Cultural assimilation
249926,Inclusive language
249926,Contemporary speech
249926,Global speech
249926,Colloquial speech
249930,Miracle
249930,Nature
249930,God
249930,Community
249931,Eternal functional
249931,subordination
249931,Authority of the Father
249931,Taxis of the Trinity
249931,Obedience of the Son
249932,Astrotheology
249932,Space exploration
249932,Exoplanets
249932,Contextualisation
249937,Schism
249937,Reformed ecclesiology
249937,Church unity
249937,Ecumenism
249938,Deification
249938,Communion
249938,Progress
249938,Eternity
250117,Daniel 10
250117,Translation
250117,Prince
250117,Commander
250118,Self-formation
250118,Trinity
250118,Desire
250118,Memory
250119,Judith
250119,Performative
250119,Literary devices
250119,Speech act theory
250120,Common sense
250120,Pentecostal hermeneutics
250120,Francis Bacon
250120,Bible reading practices
250121,Sin
250121,Bible
250121,New Testament
250121,Conceptual metaphor theory
250122,Bible translation
250122,Bible publishing
250122,Advocacy
250122,Complete Jewish Bible
250132,Office of the believers
250132,Service of the believers
250132,Free associations with a religious purpose
250132,Diversity of thought in the DRC
250123,Practical theology
250123,Transcendental leadership approach
250123,Christian developmental organisation
250123,Transformation
251434,Exodus 1-17
251434,Cry motif
251434,Murmuring motif
251473,90
251473,91
251473,92
251473,Canonical criticism
251473,Moses
251473,Wisdom
251478,Psalm 109
251478,#FeesMustFall
251478,Violence
251481,Allusion
251481,Jeremiah 34:8-22
251481,Deuteronomy 15:1-18
251481,Manumission of debt-slaves
251495,Gospel of John
251495,Women
251495,Characterisation
251487,Onesimus
251487,Philemon
251487,Interpretation
251488,John 7:53-8:11
251488,Vhusadzi (womanhood) theology
251488,Women empowerment
251488,Gender equality in the church
251489,Unemployment
251489,Employment
251489,Poor
251489,Dignity
251490,Qur’ān
251490,Ishmael
251490,Isaac
251490,Documentary Hypothesis
251492,Narrative therapy
251492,Personal story telling
251492,Art concept development
250158,Spiritual experiences
250158,Religious experiences
250158,Contingency
250158,Transcendental openness
250150,Discernment
250150,Spiritual traits
250150,Spiritual capital
250150,Spiritual experiences
250152,Leadership
250152,Discernment
250152,Religion
250152,Spirituality
250152,Cooperativeness
250153,Christian leadership
250153,Workplace
250153,Lesotho
250153,Parachurch organisations
250154,Contingency
250154,Life events
250154,(Narrative) Biographical interviews
250154,Spirituality
250155,Dutch Reformed Church
250155,Apartheid
250155,Reconciliation
250155,Mission Sending Spirituality
250156,Transformative leadership
250156,Church leaders
250156,DRC
250157,Passions of the heart
250157,Fulfilment
250157,Receptivity
250157,Life-organising power
250157,Ethical nature
250211,Theological aesthetics
250211,Public theology
250211,Visual art
250211,Social transformation
250211,Creativity
250212,Trinity
250212,Art
250212,Beauty
250212,David Bentley Hart
250212,Imagination
250215,Theological aesthetics
250215,Theological dramatics
250215,Hans Urs von Balthasar
250215,Beauty
250215,Justice
250216,Spirit
250216,Pneumatology
250216,Justice
250216,Creation
250216,Aesthetics
250217,Human flourishing
250217,Salvation
250217,Human dignity
250217,Rhetorical theology
250219,Theological aesthetics
250219,Beauty from below
250219,Incarnational theology
250228,Justice
250228,Beauty
250228,Wolterstorff
250228,Shalom
250228,Art
250230,Beauty
250230,Justice
250230,Everyday aesthetics
250230,Urban theology
250230,Whiteness
250232,Beauty
250232,Justice
250232,Architecture
250232,Care
250232,Heidegger
250234,Prophetic preaching
250234,Aesthetic homiletics
250234,Post-colonial theory
250235,Death
250235,Trinity
250235,Space
250235,Ageing
250235,Euthanasia
250235,Ethics
250358,Becoming
250358,Subject
250358,Natality
250358,Contingency
250359,Water
250359,Blue theology
250359,Bioregionalism
250359,Ched Myers
250360,Himnologie
250360,Kerklied
250360,Kerkjaar
250360,Advent
250361,Corruption
250361,Cognitive distortions
250361,Fear
250361,Hope
250362,Operative ecclesiology
250362,Functions in pastoral caregiving
250362,Beautification of life
250363,Virtue
250363,Ethics
250363,African
250363,Biblical
250364,Metaphors
250364,Spatiality
250364,Persuasion
250365,Missional-diaconal
250365,Reformed churches
250365,Diakonia
250365,Natural disasters
250366,The Lord’s prayer
250366,Ewe traditional prayer
250366,Evil
250367,Paul
250367,Ethical theory
250367,Virtue ethics
250367,Relinquish
260664,Audit
260664,Internal Audi
260664,Internal audit standards
260664,Corporate governance
260665,International financial markets
260665,Economic growth
260665,Specialized markets
260666,Takaful Insurance
260666,Takaful Insurance Operators
260666,Financial Performance
260666,Qatar
260667,Internal Ccontrol
260667,Performance Evaluation
260667,Government Entities
260668,Economic reform
260668,Financial sector
260668,inflation rates
260670,Gestion des déchets
260670,Politiques publiques
260670,Algérie
260670,Enfouissement
260670,Déchet /Ressource
260670,Waste Management
260670,Public Authorities
260670,Algeria
260670,Burying
260670,Waste/ resource
260671,Crises financières
260671,Contagion financière
260671,Volatilité
260671,Risque souverain
260671,Données de panel
260671,: Financial crises
260671,Financial contagion
260671,Volatility
260671,Sovereign Risk
260671,Panel data
260672,Algérie
260672,politique monétaire
260672,la crise des subprimes
260672,la crise pétrolière
260672,la crise sanitaire
260672,Algeria
260672,Monetary policy
260672,Subprime crisis
260672,Energy crisis
260672,Health Crisis
260673,Fiscal policy
260673,Foreign Direct Investment
260673,Public expenditure
260673,Algeria
260674,Economy
260674,Growth
260674,Factors
260674,Inflation
260674,Interest Rate
260675,Islamic financing modes
260675,Islamic banks
260675,Algeria
260675,Economic actors
260676,La Marque
260676,Rajeunissement de la Marque
260676,Médias Sociaux
260676,Milléniaux
260676,Brand
260676,Brand Rejuvenation
260676,Social Media
260676,Millennials
260677,Human Resources
260677,Motivation
260677,Performance
260677,Evaluation
260678,Training
260678,Worker performance
260678,Human Resource Management
260678,Naftal Corporation (GPL)
259645,Arabic Text
259645,Automatic Indexing
259645,Building Thesaurus
259645,Frequent Sets
259645,Synonyms
259646,Gamification
259646,Adaptive Gamification
259646,Software Development
259646,Userbased Adaptation
259646,Game elements
259633,Pedigree Graphs
259633,Isomorphism
259633,Parameterized Algorithm
259633,Kernelization Algorithms
259633,Bipartite graphs Covering Peigrees (BCP) Problem
259635,MIMO
259635,dual-band
259635,5G mobile
259635,mobile terminal
259635,microstrip patch antenna
259635,antenna design
259635,diversity
259612,cystic fibrosis
259612,treatment
259612,disease
259612,drug
259612,pulmonary
259612,small molecule modulators
259612,gene therapy
259613,Ancient Egyptian diseases
259613,Ancient Egyptian Dentistry
259631,Alcohol Dependence
259631,Life events
259631,Personality
259634,Dilaceration
259634,Diagnosis
259634,Impaction
259634,Injury
259629,Total antioxidant capacity
259629,Malondialdehyde (MDA)
259629,Diabetic cataract
259608,Covid-19
259608,Remdesivir
259608,Baricitinib
259608,Monoclonal antibodies
259609,cranio-maxillofacial reconstruction
259609,polyetheretherketone [PEEK]
259609,facial deformities
259609,patient specific implant [PSI]
259610,Covid-19 pandemic
259610,Dental students
259610,N95 face mask
259610,and oxygen saturation
190322,Afrique
190322,développement
190322,émergence
190322,philosophie
190322,progrès
190322,utopie
190322,Africa
190322,Development
190322,Emergence
190322,Philosophy
190322,Progress
190322,Utopia
190325,pauvreté
190325,projets
190325,politiques
190325,représentation sociale
190325,perception
190325,poverty
190325,projects
190325,policies
190325,social representation
190328,Assemblage
190328,NEPAD
190328,Airport
190328,migrants
190328,South Africa
190328,terrorist
190328,tourists
190329,Afrique du Sud
190329,Nigeria
190329,Afrique subsaharienne
190329,compétition économique
190329,South Africa
190329,sub-Saharan Africa
190329,economic competition
190330,economic growth
190330,economic development
190330,human capital
190330,growth models
190321,contribution sectorielle
190321,transformation structurelle
190321,diversification des exportations
190321,productivité du capital
190321,croissance pro-pauvre
190321,croissance inclusive
190334,Financial service provision
190334,business model
190334,time
190334,being
190334,space money
190334,sovereignty
190334,globalisation
190335,Developmental state
190335,industrialisation
190335,‘upper-tail’ knowledge
190335,human capacity development
190336,Skills
190336,Skills development
190336,skills protectionism
190336,skills inequality
190336,development
190336,Multinational Corporations
190336,Nigeria
190338,accountability
190338,accounting
190338,accounting history
190338,Africa
190338,Eurocentric
190338,ubuntu
190340,pêche continentale
190340,effets socioéconomiques
190340,doublet Adouhoun-Dangbo (Bénin)
190314,gender
190314,masculinities
190314,sexuality
190314,skin bleaching
190314,whitening
190314,aesthetics
190314,aspiration
190316,Tambruya
190316,embonpoint
190316,modernité
190316,dynamique sociale et alimentaire
190317,Bodily enhancements
190317,behavioural adjustments
190317,dietary behaviours
190317,lifestyles
190271,Allegory
190271,Soul Boy
190271,Youth
190271,Leadership
190271,Gerontocratic
190275,Africana critical theory
190275,Amilcar Cabral
190275,Aime Césaire
190275,Frantz Fanon
190275,Negritude
190275,Return
190275,Léopold Sédar Senghor
190277,Médias
190277,contestation
190277,mouvement
190277,populaire
190277,émeute
190277,alternance
190277,journaliste
190277,collectif
190279,media
190279,devolution
190279,county governments
190279,accountability
190279,democracy
167098,MNJTF
167098,Boko Haram
167098,crisis
167098,Lake Chad Basin
167098,security community
167099,coalitions interrégionales
167099,terrorisme
167099,CBLT
167099,Force multinationale
167099,Boko Haram
167099,lac Tchad
167099,Interregional Coalitions
167099,Terrorism
167099,LCBC
167099,Multinational Force
167099,Lake Chad
167102,démocratie
167102,djihad
167102,justice
167102,Shari’a
167102,terrorisme
167102,democracy
167102,terrorism
167104,Burundi
167104,police nationale
167104,comités mixtes de sécurité humaine
167104,régime de sécurité
167104,approche socio-criminologique
167104,National Police
167104,Joint Human Security Committees
167104,Security Regime
167104,Socio-criminological Approach
167107,science
167107,technologie et innovation
167107,politiques publiques
167107,stratégie de sécurité frontalière
167107,systèmes d’information géographiques
167107,Burkina Faso
167107,science technology and innovation
167107,public policies
167107,border security strategy
167107,geographic information systems
167080,jeunesse
167080,mouvements sociaux
167080,citoyenneté
167080,Sénégal
167080,Burkina Faso
167080,young people
167080,social movements
167080,citizenship
167080,Senegal
167082,jeunesse
167082,contestation politique
167082,critique sociale
